vault_address,vault_symbol,vault_name,asset_address,asset_symbol,asset_name,total_aum_usd_m,event_count
0xd9a442856c234a39a81a089c06451ebaa4306a72,pufETH,pufETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,66873
0xea1a6307d9b18f8d1cbf1c3dd6aad8416c06a221,LQIDETHFIV1,Ether.fi-Liquid1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,26633
0xf96798f49936efb1a56f99ceae924b6b8359affb,reALT,Restaked ALT,0xb6D149C8DdA37aAAa2F8AD0934f2e5682C35890B,STALT,Staked ALT,0,23636
0x68754d29f2e97b837cb622ccff325adac27e9977,KpufETH,Karak - pufETH,0xD9A442856C234a39a81a089C06451EBAa4306a72,pufETH,pufETH,0,16161
0x9d39a5de30e57443bff2a8307a4256c8797a3497,sUSDe,Staked USDe,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,USDe,USDe,0,12901
0xc585df3a8c9ca0c614d023a812624be36161502b,KswETH,Karak - swETH,0xf951E335afb289353dc249e82926178EaC7DEd78,swETH,swETH,0,6383
0x1b4d88f5f38988bea334c79f48aa69beeefe2e1e,KrswETH,Karak - rswETH,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,rswETH,rswETH,0,6138
0x83f20f44975d03b1b09e64809b757c47f942beea,sDAI,Savings Dai,0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,Dai Stablecoin,0,5297
0x2dabcea55a12d73191aece59f508b191fb68adac,KweETH,Karak - Wrapped eETH,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,weETH,Wrapped eETH,0,4590
0xbe3ca34d0e877a1fc889bd5231d65477779aff4e,KUSDe,Karak - USDe,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,USDe,USDe,0,2745
0x6928e5947e5a9e8e57da66121037c7e8da3a5b30,K-mswETH,Karak - mswETH,0x32bd822d615A3658A68b6fDD30c2fcb2C996D678,mswETH,mswETH,0,1472
0xe4a8b89ba73517c83c4e3e6b3e2e8c5c536d2085,KezETH,Karak - Renzo Restaked ETH,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,ezETH,Renzo Restaked ETH,0,1457
0x996d67aa9b37df96428ad3608cb21352bf1fdb90,stZENT,Staked Zentry,0xdBB7a34Bf10169d6d2D0d02A6cbb436cF4381BFa,ZENT,Zentry,0,1457
0xac3e018457b222d93114458476f3e3416abbe38f,sfrxETH,Staked Frax Ether,0x5E8422345238F34275888049021821E8E08CAa1f,frxETH,Frax Ether,0,1439
0x9a23e79a8e6d77f940f2c30eb3d9282af2e4036c,KrsETH,Karak - rsETH,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,rsETH,rsETH,0,1252
0xda0002859b2d05f66a753d8241fcde8623f26f4f,dWETHV3,Trade WETH v3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,1167
0xde5bff0755f192c333b126a449ff944ee2b69681,KsUSDe,Karak - Staked USDe,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,sUSDe,Staked USDe,0,933
0xcea18a8752bb7e7817f9ae7565328fe415c0f2ca,cvcrvUSD,Curve Vault for crvUSD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,crvUSD,Curve.Fi USD Stablecoin,0,795
0x9fb7b4477576fe5b32be4c1843afb1e55f251b33,fUSDC,Fluid USD Coin,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,0,746
0x126d4dbf752aaf61f3eaada24ab0db84fecf6891,KwBTC,Karak - Wrapped Bitcoin,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,Wrapped BTC,0,732
0xda00000035fef4082f78def6a8903bee419fbf8e,dUSDCV3,Trade USDC v3,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,0,704
0x90551c1795392094fe6d29b758eccd233cfaa260,fWETH,Fluid Wrapped Ether,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,681
0x5c20b550819128074fd538edf79791733ccedd18,fUSDT,Fluid Tether USD,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,Tether USD,0,645
0x000000000077ee1fcfe351df1ff22736e995806b,cLOOKS,Compounding LOOKS,0xe7baC7d798D66D353b9e50EbFC6859950fE13Ce4,wLOOKS,Wrapped LooksRare Token,0,641
0xa663b02cf0a4b149d2ad41910cb81e23e1c41c32,sFRAX,Staked FRAX,0x853d955aCEf822Db058eb8505911ED77F175b99e,FRAX,Frax,0,620
0x2411802d8bea09be0af8fd8d08314a63e706b29c,fwstETH,Fluid Wrapped liquid staked Ether 2.0,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,Wrapped liquid staked Ether 2.0,0,553
0x8668a15b7b023dc77b372a740fcb8939e15257cf,afCVX,Asymmetry Finance afCVX,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,CVX,Convex Token,0,501
0x86862445f58f50382c421a7bcecbcd971cc25367,bacAPE,Bend Auto-compound ApeCoin,0x4d224452801ACEd8B2F0aebE155379bb5D594381,APE,ApeCoin,0,461
0xe24ba27551abe96ca401d39761ca2319ea14e3cb,yvAjnaDAI,Yearn-Ajna DAI Vault,0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,Dai Stablecoin,0,366
0x815c23eca83261b6ec689b60cc4a58b54bc24d8d,vTHOR,vTHOR,0xa5f2211B9b8170F694421f2046281775E8468044,THOR,THORSwap Token,0,354
0x4881ef0bf6d2365d3dd6499ccd7532bcdbce0658,gtLRTcore,Gauntlet LRT Core,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,349
0x78fc2c2ed1a4cdb5402365934ae5648adad094d0,Re7WETH,Re7 WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,340
0x528190e5169ddd5ff72c40cea6d8ba37613143ac,KUSDC,Karak - USD Coin,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,0,339
0xdef3aa48bad043e53207d359dcdfde46f50b6c02,ETH-AirPuff,ETH-AirPuff,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,324
0x43e54c2e7b3e294de3a155785f52ab49d87b9922,asdCRV,Aladdin sdCRV,0xD1b5651E55D4CeeD36251c61c50C889B36F6abB5,sdCRV,Stake DAO CRV,0,311
0x686e8500b6be8812eb198aabbbfa14c95c03fc88,xOPN,Staked Open Ecosystem Token,0xc28eb2250d1AE32c7E74CFb6d6b86afC9BEb6509,OPN,Open Ecosystem Token,0,303
0xbeef01735c132ada46aa9aa4c54623caa92a64cb,steakUSDC,Steakhouse USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,0,299
0xa3726bedfd1a8aa696b9b4581277240028c4314b,KwstETH,Karak - Wrapped liquid staked Ether 2.0,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,Wrapped liquid staked Ether 2.0,0,291
