vault_address,vault_symbol,vault_name,asset_address,asset_symbol,asset_name,total_aum_usd_m,event_count
0xd9a442856c234a39a81a089c06451ebaa4306a72,pufETH,pufETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,129622
0xea1a6307d9b18f8d1cbf1c3dd6aad8416c06a221,LQIDETHFIV1,Ether.fi-Liquid1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,44261
0x9d39a5de30e57443bff2a8307a4256c8797a3497,sUSDe,Staked USDe,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,USDe,USDe,0,28827
0xf96798f49936efb1a56f99ceae924b6b8359affb,reALT,Restaked ALT,0xb6D149C8DdA37aAAa2F8AD0934f2e5682C35890B,STALT,Staked ALT,0,23745
0x68754d29f2e97b837cb622ccff325adac27e9977,KpufETH,Karak - pufETH,0xD9A442856C234a39a81a089C06451EBAa4306a72,pufETH,pufETH,0,16277
0x83f20f44975d03b1b09e64809b757c47f942beea,sDAI,Savings Dai,0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,Dai Stablecoin,0,8283
0xc585df3a8c9ca0c614d023a812624be36161502b,KswETH,Karak - swETH,0xf951E335afb289353dc249e82926178EaC7DEd78,swETH,swETH,0,6416
0x1b4d88f5f38988bea334c79f48aa69beeefe2e1e,KrswETH,Karak - rswETH,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,rswETH,rswETH,0,6165
0x2dabcea55a12d73191aece59f508b191fb68adac,KweETH,Karak - Wrapped eETH,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,weETH,Wrapped eETH,0,4719
0xac3e018457b222d93114458476f3e3416abbe38f,sfrxETH,Staked Frax Ether,0x5E8422345238F34275888049021821E8E08CAa1f,frxETH,Frax Ether,0,3894
0xbe3ca34d0e877a1fc889bd5231d65477779aff4e,KUSDe,Karak - USDe,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,USDe,USDe,0,2808
0xda0002859b2d05f66a753d8241fcde8623f26f4f,dWETHV3,Trade WETH v3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,2069
0x000000000077ee1fcfe351df1ff22736e995806b,cLOOKS,Compounding LOOKS,0xe7baC7d798D66D353b9e50EbFC6859950fE13Ce4,wLOOKS,Wrapped LooksRare Token,0,1825
0x6928e5947e5a9e8e57da66121037c7e8da3a5b30,K-mswETH,Karak - mswETH,0x32bd822d615A3658A68b6fDD30c2fcb2C996D678,mswETH,mswETH,0,1475
0x996d67aa9b37df96428ad3608cb21352bf1fdb90,stZENT,Staked Zentry,0xdBB7a34Bf10169d6d2D0d02A6cbb436cF4381BFa,ZENT,Zentry,0,1474
0xe4a8b89ba73517c83c4e3e6b3e2e8c5c536d2085,KezETH,Karak - Renzo Restaked ETH,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,ezETH,Renzo Restaked ETH,0,1464
0x9a23e79a8e6d77f940f2c30eb3d9282af2e4036c,KrsETH,Karak - rsETH,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,rsETH,rsETH,0,1262
0xda00000035fef4082f78def6a8903bee419fbf8e,dUSDCV3,Trade USDC v3,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,0,1214
0x86862445f58f50382c421a7bcecbcd971cc25367,bacAPE,Bend Auto-compound ApeCoin,0x4d224452801ACEd8B2F0aebE155379bb5D594381,APE,ApeCoin,0,1076
0xde5bff0755f192c333b126a449ff944ee2b69681,KsUSDe,Karak - Staked USDe,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,sUSDe,Staked USDe,0,944
0x9fb7b4477576fe5b32be4c1843afb1e55f251b33,fUSDC,Fluid USD Coin,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,0,912
0xcea18a8752bb7e7817f9ae7565328fe415c0f2ca,cvcrvUSD,Curve Vault for crvUSD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,crvUSD,Curve.Fi USD Stablecoin,0,859
0x815c23eca83261b6ec689b60cc4a58b54bc24d8d,vTHOR,vTHOR,0xa5f2211B9b8170F694421f2046281775E8468044,THOR,THORSwap Token,0,853
0xe24ba27551abe96ca401d39761ca2319ea14e3cb,yvAjnaDAI,Yearn-Ajna DAI Vault,0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,Dai Stablecoin,0,789
0x5c20b550819128074fd538edf79791733ccedd18,fUSDT,Fluid Tether USD,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,Tether USD,0,771
0xa663b02cf0a4b149d2ad41910cb81e23e1c41c32,sFRAX,Staked FRAX,0x853d955aCEf822Db058eb8505911ED77F175b99e,FRAX,Frax,0,748
0x686e8500b6be8812eb198aabbbfa14c95c03fc88,xOPN,Staked Open Ecosystem Token,0xc28eb2250d1AE32c7E74CFb6d6b86afC9BEb6509,OPN,Open Ecosystem Token,0,747
0x126d4dbf752aaf61f3eaada24ab0db84fecf6891,KwBTC,Karak - Wrapped Bitcoin,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,Wrapped BTC,0,738
0xbeef01735c132ada46aa9aa4c54623caa92a64cb,steakUSDC,Steakhouse USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,0,729
0x90551c1795392094fe6d29b758eccd233cfaa260,fWETH,Fluid Wrapped Ether,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,709
0x3835a58ca93cdb5f912519ad366826ac9a752510,FraxlendV1 - CRV/FRAX,FraxlendV1 - Curve DAO Token/Frax - Variable Time-Weighted Interest Rate - 6,0x853d955aCEf822Db058eb8505911ED77F175b99e,FRAX,Frax,0,638
0x2411802d8bea09be0af8fd8d08314a63e706b29c,fwstETH,Fluid Wrapped liquid staked Ether 2.0,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,Wrapped liquid staked Ether 2.0,0,557
0x78fc2c2ed1a4cdb5402365934ae5648adad094d0,Re7WETH,Re7 WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,543
0x38989bba00bdf8181f4082995b3deae96163ac5d,bbETH,Flagship ETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,535
0xa0d3707c569ff8c87fa923d3823ec5d81c98be78,iETHv2,Instadapp ETH v2,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,stETH,Liquid staked Ether 2.0,0,520
0x8668a15b7b023dc77b372a740fcb8939e15257cf,afCVX,Asymmetry Finance afCVX,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,CVX,Convex Token,0,503
0x9ba021b0a9b958b5e75ce9f6dff97c7ee52cb3e6,apxETH,Autocompounding Pirex Ether,0x04C154b66CB340F3Ae24111CC767e0184Ed00Cc6,pxETH,Pirex Ether,0,502
0x43e54c2e7b3e294de3a155785f52ab49d87b9922,asdCRV,Aladdin sdCRV,0xD1b5651E55D4CeeD36251c61c50C889B36F6abB5,sdCRV,Stake DAO CRV,0,444
0xdef3aa48bad043e53207d359dcdfde46f50b6c02,ETH-AirPuff,ETH-AirPuff,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,441
0x4881ef0bf6d2365d3dd6499ccd7532bcdbce0658,gtLRTcore,Gauntlet LRT Core,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,389
0x528190e5169ddd5ff72c40cea6d8ba37613143ac,KUSDC,Karak - USD Coin,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,0,343
0xf9834692f0b869d80072d1b6bbaa8d06e4a1cb68,sMark,Staked Mark,0xaF1eEb83c364aD9ffeb5f97F223C1705D4810033,Mark,MoneyArk Token,0,296
0xa3726bedfd1a8aa696b9b4581277240028c4314b,KwstETH,Karak - Wrapped liquid staked Ether 2.0,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,Wrapped liquid staked Ether 2.0,0,294
0x2b95a1dcc3d405535f9ed33c219ab38e8d7e0884,aCRV,Aladdin cvxCRV,0x62B9c7356A2Dc64a1969e19C23e4f579F9810Aa7,cvxCRV,Convex CRV,0,284
0x0022228a2cc5e7ef0274a7baa600d44da5ab5776,stUSD,Staked USDA,0x0000206329b97DB379d5E1Bf586BbDB969C63274,USDA,USDA,0,282
0x38ca226e5ac5c96fd9b1f1abcad65613e2108d3e,KuniETH,Karak - Universal ETH,0xF1376bceF0f78459C0Ed0ba5ddce976F1ddF51F4,uniETH,Universal ETH,0,281
0x06470d528296bdcf5126de1cd342d1fa191103dc,xBITS,BitSwapVault,0x42496acd2c7b52CE90Ed65adA6CafB0e893e2474,BITS,BitSwap,0,278
0x2c25f6c25770ffec5959d34b94bf898865e5d6b1,bbUSDT,Flagship USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,Tether USD,0,276
0x7c22725d1e0871f0043397c9761ad99a86ffd498,KmETH,Karak - mETH,0xd5F7838F5C461fefF7FE49ea5ebaF7728bB0ADfa,mETH,mETH,0,274
0x989ab830c6e2bdf3f28214ff54c9b7415c349a3f,KETHx,Karak - ETHx,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,ETHx,ETHx,0,246
0xfaa2ed111b4f580fcb85c48e6dc6782dc5fcd7a6,stkauraBAL,Staked Aura BAL,0x616e8BfA43F920657B3497DBf40D6b1A02D4608d,auraBAL,Aura BAL,0,239
0xfa35d1f603384e8fcfcbff3e610935d02922544e,apxBTRFLY,Autocompounding pxBTRFLY,0x10978Db3885bA79Bf1Bc823E108085FB88e6F02f,pxBTRFLY,Pirex BTRFLY,0,234
0x05a811275fe9b4de503b3311f51edf6a856d936e,dUSDTV3,Universal USDT v3,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,Tether USD,0,234
0x0d53bc2ba508dfdf47084d511f13bb2eb3f8317b,ultraETHs,Affine ultraETHs,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,Wrapped liquid staked Ether 2.0,0,234
0x8659fc767cad6005de79af65dafe4249c57927af,uCVX,Union Pirex,0xBCe0Cf87F513102F22232436CCa2ca49e815C3aC,pxCVX,Pirex CVX,0,230
0x503e0bab6acdae73ea7fb7cf6ae5792014dbe935,yvAjnaWETH,Yearn-Ajna WETH Vault,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,225
0x3808708e761b988d23ae011ed0e12674fb66bd62,svXAI,SideShift SideShift Token Vault,0x35e78b3982E87ecfD5b3f3265B601c046cDBe232,XAI,SideShift Token,0,224
