contract_address,event_count
0xd9a442856c234a39a81a089c06451ebaa4306a72,66873
0x61dc14b28d4dbcd6cf887e9b72018b9da1ce6ff7,32998
0xea1a6307d9b18f8d1cbf1c3dd6aad8416c06a221,26633
